prenom,n_f,n_m
ABISAN,0,15
ABISHA,100,0
ABISHAN,0,75
ABISHANA,5,0
ABISHANTH,0,5
ABISHEK,0,5
ABITHA,5,0
ABKADER,0,5
ABLA,435,0
ABLAYE,0,105
ABNER,0,10
ABOLFAZL,0,5
ABOU,5,1090
ABOU-BAKAR,0,30
ABOU-BAKER,0,5
ABOU-BAKR,0,210
ABOU-SOFIANE,0,5
ABOUBACAR,0,2750
ABOUBACAR-SIDIK,0,10
ABOUBACAR-SIDIKI,0,20
ABOUBACARI,0,5
ABOUBACARY,0,20
ABOUBACRI,0,5
ABOUBACRINE,0,5
ABOUBACRY,0,20
ABOUBAKA,0,20
ABOUBAKAR,0,1515
ABOUBAKAR-SIDIK,0,5
ABOUBAKARI,0,65
ABOUBAKARY,0,180
ABOUBAKER,0,135
ABOUBAKR,0,395
ABOUBAKRE,0,10
ABOUBAKRI,0,30
ABOUBAKRINE,0,5
ABOUBAKRY,0,105
ABOUDOU,0,70
ABOUDOULAYE,0,20
ABOUDRAMANE,0,20
ABOUJIHAD,0,5
ABOULAY,0,10
ABOULAYE,0,210
ABRAHAM,0,2865
ABRAHAME,0,5
ABRAHIM,0,25
ABRAM,0,60
ABRAR,155,30
ABRARE,10,0
ABRIANA,5,0
ABRIEL,0,370
ABRIL,55,0
ABRYEL,0,5
ABSA,75,0
ABSALOM,0,5
ABSATOU,35,0
ABSETOU,5,0
ABSLAM,0,5
ABSOIR,0,5
ABU,0,80
ABU-BAKAR,0,5
ABU-BAKR,0,25
ABUBACAR,0,5
ABUBAKAR,0,70
ABUBAKR,0,35
ABY,1040,0
ABY-GAELLE,35,0
ABYGAEL,780,0
ABYGAELLE,1725,0
ABYGAIL,320,0
ACACIA,140,0
ACACIO,0,45
ACANTHE,5,0
ACE,0,65
ACELIA,15,0
ACELYA,515,0
ACENE,0,10
ACHA,5,0
ACHARD,0,5
ACHATA,10,0
ACHE,5,0
ACHER,0,35
ACHERAF,0,10
ACHIDA,5,0
ACHIL,0,105
ACHILE,0,200
ACHILLE,160,19035
ACHILLES,0,110
ACHIM,0,65
ACHLEY,15,0
ACHMI,0,5
ACHOT,0,25
ACHOUAK,40,0
ACHOUR,0,350
ACHRAF,25,2235
ACHRAFE,0,30
ACHREF,0,15
ACHTA,20,0
ACHWAK,20,0
ACHYL,0,5
ACHYLLE,0,5
ACIA,50,0
ACIL,110,170
ACILE,125,0
ACIM,0,5
ACRACIA,5,0
ACRAM,0,5
ACYA,5,0
ACYL,15,45
ACYLE,10,0
ADA,1585,50
ADAAM,0,25
ADAEL,0,5
ADAEZE,5,0
ADAH,20,0
ADAHY,0,5
ADAIM,0,5
ADALBERT,0,405
ADALGISA,5,0
ADALIA,10,0
ADALIE,5,0
ADALINA,30,0
ADALIND,20,0
ADALINE,620,0
ADALRIC,0,5
ADALYN,10,0
ADALYNA,5,0
ADALYNE,85,0
ADALYNN,30,0
ADAM,130,85335
ADAM'S,0,15
ADAM-GABRIEL,0,5
ADAM-MOHAMED,0,10
ADAM-YANIS,0,5
ADAMA,1240,3110
ADAMA-HAWA,10,0
ADAMAI,0,5
ADAME,80,1775
ADAMM,0,25
ADAMO,0,65
ADAMS,0,300
ADAN,15,1405
ADANA,10,0
ADANE,0,65
ADANNA,15,0
ADAO,0,110
ADAR,0,235
ADARA,10,0
ADASSA,55,0
ADAYA,30,5
ADAYAH,5,0
ADDA,190,195
ADDAM,0,25
ADDEL,0,15
ADDIL,0,15
ADDIS,0,5
ADDISON,115,25
ADDOLORATA,15,0
ADDY,0,5
ADDYSON,15,0
ADE,0,5
ADEA,65,0
ADEEL,0,25
ADEI,0,25
ADEL,25,9795
ADELA,840,0
ADELAIDA,30,0
ADELAIDE,12750,275
ADELAIS,55,0
ADELBERT,0,60
ADELCIA,5,0
ADELE,53430,65
ADELE-ROSE,5,0
ADELEINE,5,0
ADELHEID,65,0
ADELIA,1485,0
ADELICE,35,0
ADELIE,3080,0
ADELIN,0,830
ADELINA,2100,0
ADELINE,54580,0
ADELINO,0,325
ADELIO,0,175
ADELISA,20,0
ADELISE,60,0
ADELLA,5,0
ADELLE,135,0
ADELMA,10,0
ADELMO,0,10
ADELPHE,0,25
ADELPHINE,335,0
ADELSON,0,95
ADELY,5,0
ADELYA,190,0
