prenom,n_f,n_m
SANTIANO,0,5
SANTINA,390,0
SANTINE,50,0
SANTINO,0,750
SANTO,0,405
SANTOS,0,135
SANTOSH,0,5
SANTU,0,160
SANTY,0,25
SANTYAGO,0,5
SANUYAN,0,5
SANVI,10,0
SANVIKA,15,0
SANY,0,80
SANYA,400,0
SANZO,0,20
SAO,25,65
SAOIRSE,15,0
SAOLIA,5,0
SAONA,975,0
SAORI,235,0
SAORIE,5,0
SAORY,30,0
SAOSSANE,30,0
SAOUCEN,10,0
SAOUD,0,5
SAOUDA,150,0
SAOUDATOU,35,0
SAOUSAN,5,0
SAOUSANE,5,0
SAOUSEN,50,0
SAOUSSAN,5,0
SAOUSSANE,85,0
SAOUSSEN,170,0
SAOUSSENE,15,0
SAPHA,10,0
SAPHIA,635,0
SAPHIR,110,555
SAPHIRA,235,0
SAPHIRE,15,0
SAPHO,35,0
SAPHORA,60,0
SAPHYA,10,0
SAPHYR,5,50
SAPHYRA,10,0
SAPNA,5,0
SAQIB,0,10
SAQUINA,5,0
SARA,28775,0
SARA-LOU,60,0
SARA-LUNA,20,0
SARABA,0,5
SARAFINA,95,0
SARAH,174675,30
SARAH-ANNE,5,0
SARAH-ELISABETH,5,0
SARAH-GRACE,5,0
SARAH-INES,5,0
SARAH-JANE,75,0
SARAH-JOY,5,0
SARAH-LAURE,25,0
SARAH-LEA,10,0
SARAH-LEE,5,0
SARAH-LINA,10,0
SARAH-LINE,35,0
SARAH-LISA,15,0
SARAH-LISE,15,0
SARAH-LOU,205,0
SARAH-LOUISE,55,0
SARAH-LUNA,20,0
SARAH-MARIA,5,0
SARAH-MARIE,65,0
SARAH-MYRIAM,15,0
SARAH-ROSE,25,0
SARAH-VICTORIA,5,0
SARAI,90,0
SARALINA,5,0
SARALOU,5,0
SARAN,500,25
SARANDA,5,0
SARANE,5,5
SARANGAN,0,5
SARANN,5,0
SARANYA,20,0
SARASVATI,5,0
SARASWATHI,5,0
SARATA,170,0
SARATH,0,5
SARATOU,15,0
SARAY,20,0
SARAYMA,25,0
SARE,40,0
SAREL,0,5
SARGIS,0,15
SARHA,475,0
SARHAN,0,10
SARHANE,0,15
SARI,0,15
SARIA,30,0
SARIAKA,15,0
SARIDA,10,0
SARIEL,0,15
SARIKA,10,0
SARINA,290,0
SARINE,5,0
SARITA,100,0
SARIYA,15,0
SARKIS,0,160
SARO,5,5
SAROO,0,5
SARP,0,5
SARRA,1780,0
SARRAH,360,0
SARTA,10,0
SARUJAN,0,20
SARVIN,0,10
SARYA,105,0
SARYNA,5,0
SASA,0,300
SASCHA,135,410
SASHA,8690,12050
SASHAN,0,5
SASHKA,5,5
SASHWIN,0,5
SASKIA,895,0
SASKO,0,5
SASKYA,20,0
SASSI,0,90
SASSIA,90,0
SASVIN,0,5
SASWIN,0,15
SATA,5,0
SATCHEL,0,10
SATEEN,15,0
SATEENE,5,0
SATHEEN,55,0
SATHEENE,65,0
SATHINE,15,0
SATHUSA,5,0
SATHUSAN,0,5
SATHUSHAN,0,5
SATHYA,10,70
SATHYNE,50,0
SATI,125,0
SATIA,15,20
SATIE,20,0
SATINE,1025,0
SATISH,0,5
SATOU,35,0
SATURNA,5,0
SATURNIN,105,980
SATURNINA,5,0
SATURNINE,250,0
SATURNINO,0,10
SATYA,140,325
SATYAM,0,30
SATYANA,5,0
SATYNE,45,0
SAUDADE,5,0
SAUFIANE,0,20
SAUL,15,1135
SAULE,20,35
SAUNIA,5,0
SAUNY,0,5
SAURAYA,15,0
SAURIA,10,0
SAURO,0,5
SAUVANE,45,0
SAUVANNE,25,0
SAUVEUR,0,3050
SAUYER,5,0
SAVA,0,5
SAVAHNA,5,0
SAVANA,645,0
SAVANAH,685,0
SAVANHA,5,0
SAVANNA,325,0
SAVANNAH,2410,0
SAVAS,0,45
SAVASTANO,0,5
SAVELINA,5,0
SAVERIA,570,0
SAVERINA,5,0
SAVERIO,0,240
SAVERIU,0,195
SAVHANNA,10,0
SAVIA,10,0
SAVIN,0,10
SAVINA,165,0
SAVINE,155,0
SAVINIEN,0,405
SAVINIENNE,5,0
SAVINO,0,95
SAVIO,0,160
SAVIOUR,0,5
SAVITA,10,0
SAWAB,0,10
SAWAI,5,0
SAWAN,0,45
SAWDA,245,0
SAWDAH,10,0
SAWEN,0,5
SAWIA,5,0
SAWSAN,210,0
SAWSANA,15,0
SAWSANE,340,0
SAWSEN,360,0
SAWSENE,290,0
SAWSENN,5,0
SAWSSAN,5,0
SAWSSANE,40,0
SAWSSEN,125,0
SAWSSENE,35,0
SAWYER,75,175
SAXA,5,0
SAY,0,5
SAYA,435,15
SAYAD,0,15
SAYAH,15,50
SAYAKA,5,0
SAYALINE,110,0
SAYAM,0,100
SAYAN,5,930
SAYANA,530,0
SAYANAH,25,0
SAYANE,50,125
SAYANN,10,375
SAYANNA,85,0
SAYANNAH,15,0
SAYANNE,15,5
SAYANTHAN,0,5
SAYD,0,5
SAYDA,40,0
SAYDEN,0,60
SAYDOU,0,20
SAYED,0,145
SAYEL,0,90
SAYEM,0,15
SAYEN,0,15
SAYER,0,5
SAYF,0,310
SAYF-ALLAH,0,5
SAYF-DINE,0,5
SAYF-EDDINE,0,45
SAYF-EDINE,0,5
SAYFALLAH,0,5
SAYFANA,15,0
SAYFANE,0,5
SAYFDINE,0,50
SAYFE,0,5
SAYFEDDINE,0,65
SAYFEDINE,0,55
SAYFOULA,0,10
SAYFOULLA,0,20
SAYFOULLAH,0,85
SAYFULLAH,0,70
SAYHAN,0,35
SAYIM,0,5
SAYINA,5,0
SAYLA,15,0
SAYLAN,0,20
SAYLANA,5,0
SAYLANE,0,10
SAYLANN,0,5
SAYMA,35,0
SAYMON,0,65
SAYNA,195,0
SAYON,80,10
SAYRA,70,0
SAYRAN,5,0
SAYRI,0,5
SAYRON,0,25
SAYSANA,0,35
SAYURI,55,0
SAZIYE,5,0
SCANDER,0,75
SCARLA,5,0
SCARLET,25,0
SCARLETT,1170,0
SCARLETTE,85,0
SCAYLA,5,0
SCHADRAC,0,40
SCHAHINEZ,5,0
SCHAIMA,65,0
SCHAINA,20,0
SCHAINEZ,5,0
SCHAINEZE,5,0
SCHAMA,0,5
SCHANA,40,0
SCHANICE,5,0
SCHANNA,10,0
SCHARON,5,0
SCHAYMA,5,0
SCHEERAZADE,5,0
SCHEHERAZADE,420,0
SCHEHRAZADE,5,0
SCHEILA,20,0
SCHEIMA,20,0
SCHEKINA,35,0
SCHELLA,10,0
SCHELLY,5,0
SCHELSY,15,0
SCHERAZADE,200,0
SCHERIF,0,5
SCHERIFF,0,5
SCHERINE,10,0
SCHERLEY,10,0
SCHILO,0,50
SCHIPHRA,15,0
SCHIREL,5,0
SCHIRLEY,25,0
SCHNEIDER,0,45
SCHOLASTIE,355,0
SCHOLASTIEN,0,60
SCHOLASTIQUE,835,220
SCIPION,0,15
SCOLASTIQUE,45,0
SCOTT,0,1890
SCOTTIE,10,15
SCOTTY,0,600
SCOTY,0,30
SCYLLA,5,0
SEAD,0,5
SEAN,0,2690
SEB,0,5
SEBA,5,0
SEBAHAT,30,0
SEBAN,0,15
SEBASTIAN,0,2040
SEBASTIANA,35,0
SEBASTIANO,0,205
SEBASTIAO,0,20
SEBASTIEN,100,304565
SEBASTIENNE,895,0
SEBIHA,15,0
SEBTI,0,60
SECIL,170,0
SECKOU,0,70
SECOND,0,45
SECONDINE,15,0
SECONDO,0,85
SECUNDINO,0,5
SEDA,505,0
SEDA-NUR,5,0
SEDAN,0,5
SEDANUR,20,0
SEDAT,0,330
SEDDIK,0,210
SEDEF,200,0
SEDEN,5,0
SEDI,5,0
SEDIK,0,40
SEDINE,0,15
SEDNA,5,0
SEDRA,75,0
SEDRAH,15,0
SEDRIC,0,10
SEDRICK,0,15
SEDRIK,0,5
SEDRINE,5,0
SEDY,0,5
SEELEY,0,15
SEENA,5,0
SEERAT,5,0
SEFA,5,490
SEFANA,195,0
SEFER,0,40
SEFFANA,10,0
SEFIA,10,0
SEFIANE,0,35
SEFIKA,10,0
SEFIR,0,10
SEFKAN,0,45
SEFORA,400,0
SEGA,0,175
SEGHIR,0,75
SEGOLAINE,15,0
SEGOLEN,50,0
SEGOLENE,5315,0
SEGOND,0,5
SEGONDE,5,0
SEGUNDO,0,20
SEHAM,100,0
SEHAME,25,0
SEHEM,15,0
SEHER,325,0
SEHRAZAD,5,0
SEHRIBAN,20,0
SEHRISH,10,0
SEIBA,0,5
SEID,0,15
SEIDI,0,5
SEIDOU,0,10
SEIF,0,355
SEIF-ALLAH,0,10
SEIF-DINE,0,5
SEIF-EDDINE,0,200
SEIF-EDINE,0,5
SEIFALLAH,0,5
SEIFAN,0,5
SEIFANA,10,0
SEIFDINE,0,20
SEIFEDDINE,0,205
SEIFEDINE,0,50
SEIJI,0,50
SEILA,5,0
SEINA,55,0
SEINY,0,5
SEIYA,20,115
SEIYNA,5,0
SEJDA,30,0
SEJID,0,5
SEJLA,5,0
SEJOUD,25,0
SEKAINA,5,0
SEKANI,0,25
SEKHOU,0,95
SEKHOUBA,0,5
SEKINA,35,0
SEKOU,0,2255
SEKOU-OUMAR,0,15
SEKOUBA,0,80
SEKOUMAR,0,5
SEKOUNA,0,5
SELAH,50,0
SELAHATTIN,0,70
SELAMI,0,25
SELAYA,5,0
SELCAN,85,0
SELCUK,0,195
SELDA,455,0
SELEM,0,5
SELEN,1155,0
SELENA,9660,0
SELENA-MARIA,5,0
SELENAY,105,0
SELENE,3430,0
SELENIA,555,0
SELENN,50,0
SELENNA,70,0
SELENNE,30,0
SELENYA,120,0
SELEYNA,45,0
SELHIA,5,0
SELI,0,5
SELIA,465,0
SELIAN,0,45
SELIANA,10,0
SELIANE,15,0
SELIANN,0,5
SELIE,15,0
SELIHA,40,0
SELIHOM,5,0
SELIM,0,6650
SELIMA,365,0
SELIMAN,0,5
SELIMANE,0,5
SELIMATA,55,0
SELIME,0,30
SELIN,1740,0
SELINA,1025,0
SELINAY,75,0
SELINE,210,0
SELIO,0,5
SELIVAN,0,5
SELLAM,0,5
SELLOM,5,0
SELLY,115,15
SELMA,12515,0
SELMAINE,0,5
SELMAN,0,400
SELMANE,0,155
SELMEDIN,0,5
SELMEDINA,5,0
SELMEN,0,350
SELMENE,0,170
SELOI,5,0
SELOUA,115,0
SELSABIL,270,0
SELSABILA,10,0
SELSABILE,60,0
SELSABYL,5,0
SELSEBIL,105,0
SELSEBILE,15,0
SELSO,0,5
SELVA,55,5
SELVAN,0,5
SELVER,20,0
SELVI,185,0
SELVINAZ,5,0
SELVY,5,0
SELWA,145,0
SELWYN,0,5
SELY,5,0
SELYA,440,0
SELYAN,0,1820
SELYANA,35,0
SELYANE,0,175
SELYANN,0,50
SELYM,0,45
SELYN,5,0
SELYNA,120,0
SEM,10,280
SEMA,760,5
SEMA-NUR,35,0
SEMAH,5,0
SEMANUR,145,0
SEMBALA,0,10
SEMEH,5,0
SEMI,0,310
SEMIA,270,0
SEMIH,0,1640
SEMIHA,115,0
SEMIN,0,15
SEMINA,35,0
SEMIR,0,140
SEMIRA,75,0
SEMIYA,5,0
SEMRA,295,0
SEMSI,10,0
SEMY,0,145
SENA,1160,75
SENA-NUR,5,0
SENAD,0,50
SENADA,15,0
SENAMI,15,0
SENAN,0,5
SENANUR,20,0
SENATEUR,0,25
SENAY,100,0
SENAYA,10,0
SENDA,145,0
SENDE,15,0
SENDES,5,0
SENDRA,10,0
SENDRINE,30,0
SENDY,85,0
SENED,0,5
SENEM,170,0
SENER,0,15
SENG,0,35
SENGUL,80,0
SENI,0,100
SENIA,60,0
SENIHA,5,0
SENJI,0,5
SENNA,30,155
SENNUR,10,0
SENNY,0,130
SENOL,0,90
SENTHURAN,0,25
SENY,0,375
SENYA,5,0
SENZO,0,120
SEOLANE,5,0
SEONA,50,0
SEPHANA,30,0
SEPHISE,5,0
SEPHORA,3860,0
SEPHORAH,5,0
SEPTI,0,5
SEPTIME,100,220
SEPTUAGESIM,0,5
SEPTUAGESIME,10,5
SERA,10,0
SERAFETTIN,0,10
SERAFIM,0,30
SERAFIMA,5,0
SERAFIN,0,95
SERAFINA,80,0
SERAFINO,0,35
SERAH,80,0
SERAJ,0,25
SERAJE,0,5
SERAP,205,0
SERAPHIE,315,0
SERAPHIN,10,3465
SERAPHINA,30,0
SERAPHINE,2705,0
SERAPHINO,0,10
SERAY,10,0
SERAYA,25,0
SERAYAH,45,0
SERBAN,0,5
SERCAN,10,115
SERDAL,0,135
SERDAR,0,360
SERDOT,0,5
SEREF,0,15
SEREN,115,0
SERENA,9885,0
SERENAH,5,0
SERENAY,15,0
SERENE,15,5
SERENELLA,20,0
SERENITY,10,0
SERENNA,35,0
SEREY,0,10
SEREYA,15,0
SERFE,5,0
SERGE,265,219090
SERGEI,0,35
SERGEJ,0,10
SERGELINE,5,0
SERGEN,0,90
SERGES,0,220
SERGETTE,90,0
SERGEY,0,25
SERGHEI,0,5
SERGI,0,5
SERGINA,15,0
SERGINE,2025,0
SERGINIO,0,15
SERGIO,0,3430
SERGIU,0,40
SERGO,0,5
SERGUEI,0,155
SERGYO,0,5
SERHAD,0,25
SERHAN,0,55
SERHAT,0,525
SERIANE,5,0
SERIF,5,10
SERIFE,325,0
SERIGNE,0,555
SERIGNE-BETHIO,0,15
SERIGNE-FALLOU,0,25
SERIGNE-SALIOU,0,115
SERIMA,10,0
SERIN,5,0
SERINA,145,0
SERINE,1555,0
SERINNE,5,0
SERJE,0,5
SERJIO,0,10
SERJO,0,10
SERKAN,0,1035
SERNIN,0,5
SERPIL,275,0
SERPOUHI,10,0
SERRA,35,0
SERRENA,5,0
SERRINE,15,0
SERSE,0,5
SERTAN,0,10
SERVAIS,130,640
SERVAISE,10,0
SERVAN,0,355
SERVANE,3340,0
SERVANNE,405,0
SERVET,0,35
SERVINE,5,0
SERWAN,0,15
SERY,5,10
SERYNA,5,0
SERYNE,125,0
SERZAN,0,20
SESILI,5,0
SESTO,0,5
SETA,215,0
SETAN,40,0
SETAYESH,20,0
SETH,0,490
SETHA,0,5
SETHI,0,5
SETHY,0,40
SETONDJI,0,5
SETOU,15,0
SETTI,80,0
SETTIMO,0,5
SETY,0,10
SEURETTE,5,0
SEVAG,0,25
SEVAK,0,20
SEVAL,115,0
SEVAN,10,2150
SEVANA,60,0
SEVANE,115,40
SEVANN,0,115
SEVCAN,35,0
SEVDA,565,0
SEVDE,155,0
SEVEN,30,220
SEVER,0,10
SEVERE,5,200
SEVERIC,0,5
SEVERIN,30,2595
SEVERINA,150,0
SEVERINE,95360,0
SEVERINNE,45,0
SEVERINO,0,200
SEVERYNE,20,0
SEVGI,440,0
SEVIL,170,0
SEVILA,5,0
SEVILAY,190,0
SEVIM,325,0
SEVIN,70,0
SEVINC,55,0
SEVKAN,0,10
SEVKET,0,40
SEVRINE,320,0
SEVTAP,15,0
SEVVAL,25,0
SEWAN,0,40
SEYA,25,0
SEYAN,0,65
SEYANA,835,0
SEYANAH,25,0
SEYANN,0,10
SEYANNA,75,0
SEYANNAH,20,0
SEYBA,0,45
SEYDA,205,0
SEYDANUR,5,0
SEYDEN,0,5
SEYDI,0,125
SEYDINA,5,615
SEYDINA-ALIOUNE,0,10
SEYDINA-MOHAMED,0,15
SEYDINA-MOUHAMED,0,40
SEYDINA-MOUHAMMAD,0,5
SEYDINA-OUMAR,0,5
SEYDOU,0,1035
SEYDOUBA,0,25
SEYF,0,155
SEYF-EDDINE,0,25
SEYFDIN,0,5
SEYFDINE,0,35
SEYFEDDINE,0,60
SEYFEDINE,0,35
SEYFI,0,5
SEYFRID,0,5
SEYFULLAH,0,10
SEYHA,0,20
SEYHAN,55,105
SEYID,0,30
SEYIT,0,190
SEYIT-ALI,0,10
SEYITHAN,0,5
SEYLA,30,0
SEYLAN,0,85
SEYLANN,0,5
SEYLENE,5,0
SEYLIAN,0,25
SEYMA,625,0
SEYMA-NUR,15,0
SEYMANUR,5,0
SEYME,5,0
SEYMEN,0,165
SEYMOUR,0,5
SEYNA,165,0
SEYNABOU,535,0
SEYNI,40,130
SEYON,0,30
SEYRAM,0,10
SEYRAN,30,0
SEYRANE,5,0
SEYYED,0,5
SEYYID,0,120
SEYYID-ALI,0,5
SEZA,5,0
SEZANNE,5,0
SEZEN,50,0
SEZER,0,185
SEZGIN,0,70
SEZIN,15,0
SEZNI,0,40
SEZNY,0,25
SFIA,40,0
SHAAD,5,40
SHAADEN,5,0
SHAAN,30,50
SHAANA,10,0
SHAANE,5,0
SHABAN,0,25
SHABANA,20,0
SHABIR,0,5
SHABNAM,20,0
SHAD,0,190
SHADA,45,0
SHADDAI,20,75
SHADDAY,0,5
SHADE,570,0
SHADEE,40,0
SHADEN,355,0
SHADENE,125,0
SHADEY,175,0
SHADI,0,160
SHADIA,70,0
SHADINE,20,0
SHADIYA,10,0
SHADRAC,0,5
SHADRACH,0,5
SHADRACK,0,10
SHADRAK,0,5
SHADY,20,360
SHADYA,20,0
SHAE,130,0
SHAEL,0,5
SHAELIE,5,0
SHAELLY,25,0
SHAELY,65,0
SHAELYN,10,0
SHAELYNE,5,0
SHAELYNN,20,0
SHAELYS,40,0
SHAELYSS,5,0
SHAENA,40,0
SHAENYS,5,0
SHAFI,0,5
SHAFIK,0,5
SHAGGY,0,10
SHAHAB,0,5
SHAHAD,15,0
SHAHAN,0,20
SHAHANA,20,0
SHAHD,230,0
SHAHDE,10,0
SHAHED,10,0
SHAHEED,0,35
SHAHEEM,0,5
SHAHEEN,25,225
SHAHEENA,5,0
SHAHEER,0,5
SHAHEN,0,5
SHAHID,0,350
SHAHIDA,30,0
SHAHIM,0,20
SHAHIMA,15,0
SHAHIN,5,575
SHAHINA,135,0
SHAHINAZ,110,0
SHAHINAZE,20,0
SHAHINE,35,535
SHAHINES,10,0
SHAHINEZ,485,0
SHAHINEZE,80,0
SHAHIR,0,25
SHAHIRA,15,0
SHAHMEER,0,5
SHAHNAZ,5,0
SHAHRAZAD,20,0
SHAHRAZADE,5,0
SHAHYN,0,145
SHAHYNA,40,0
SHAHYNE,0,60
SHAHYNEZ,25,0
SHAHZAD,0,15
SHAHZAIB,0,10
SHAHZAIN,0,25
SHAI,40,440
SHAIA,20,0
SHAID,0,10
SHAIDA,10,0
SHAIDY,10,5
SHAILA,55,0
SHAILAN,0,5
SHAILEE,15,0
SHAILEEN,5,0
SHAILEY,30,0
SHAILI,90,0
SHAILIE,5,0
SHAILLY,40,0
SHAILY,635,0
SHAILYNE,10,0
SHAILYS,75,0
SHAILYSS,5,0
SHAIM,0,140
SHAIMA,2665,0
SHAIMAA,75,0
SHAIMAE,55,0
SHAIN,0,370
SHAINA,4795,0
SHAINAZ,15,0
SHAINAZE,5,0
SHAINE,15,155
SHAINEE,10,0
SHAINES,240,0
SHAINESE,120,0
SHAINESS,340,0
SHAINESSE,115,0
SHAINEZ,1115,0
SHAINEZE,360,0
SHAINICE,50,0
SHAINIS,30,0
SHAINNA,235,0
SHAINY,130,5
SHAINYCE,25,0
SHAINYS,115,0
SHAINYSS,20,0
SHAIRA,30,0
SHAKA,0,10
SHAKIB,0,40
SHAKIL,0,60
SHAKILA,5,0
SHAKIR,0,60
SHAKIRA,315,0
SHAKTI,20,0
SHAKUR,0,65
SHAKYRA,5,0
SHALEENA,25,0
SHALEV,0,10
SHALIA,15,0
SHALIMA,5,0
SHALIMAR,10,0
SHALINA,45,0
SHALINI,100,0
SHALINIE,5,0
SHALOM,60,110
SHALONA,5,0
SHALVA,25,0
SHALYA,60,0
SHALYANA,10,0
SHALYNA,30,0
SHAM,115,15
SHAMA,115,10
SHAMAEL,5,0
SHAMAR,0,5
SHAMI,0,5
SHAMIL,0,60
SHAMILA,40,0
SHAMILLA,5,0
SHAMIMA,5,0
SHAMINA,15,0
SHAMIR,0,15
SHAMIRA,15,0
SHAMMAH,0,15
SHAMS,250,260
SHAMS-EDDINE,0,45
SHAMSDINE,0,10
SHAMSEDDINE,0,35
SHAMSEDINE,0,20
SHAMSI,15,0
SHAMSIA,5,0
SHAMSY,40,0
SHAN,0,150
SHANA,8885,0
SHANAA,10,0
SHANAE,25,0
SHANAEL,240,0
SHANAELLE,305,0
SHANAH,15,0
SHANAI,5,0
SHANAIS,20,0
SHANAYA,130,0
SHANAZ,20,0
SHANDRA,15,0
SHANDRANI,5,0
SHANDRANY,25,0
SHANDY,10,0
SHANE,135,335
SHANEE,10,0
SHANEL,755,0
SHANELA,5,0
SHANELIA,10,0
SHANELL,60,0
SHANELLA,15,0
SHANELLE,335,0
SHANELLY,10,0
SHANELY,5,0
SHANELYA,30,0
SHANEN,25,0
SHANESE,20,0
SHANESIA,70,0
SHANEZ,175,0
SHANEZE,95,0
SHANEZIA,5,0
SHANGO,0,10
SHANI,355,20
SHANIA,580,0
SHANICE,1120,0
SHANIE,55,0
SHANIQUA,5,0
SHANIS,100,0
SHANISE,5,0
SHANISS,10,0
SHANISSE,45,0
SHANIYA,5,0
SHANLEY,5,0
SHANN,0,20
SHANNA,5735,0
SHANNAELLE,5,0
SHANNAH,105,0
SHANNEL,195,0
SHANNELLE,5,0
SHANNEN,210,0
SHANNEZ,5,0
SHANNICE,5,0
SHANNIS,5,0
SHANNON,2555,65
SHANNONE,165,0
SHANNY,60,0
SHANON,1170,25
SHANONE,660,0
SHANONN,90,0
SHANONNE,70,0
SHANTHOS,0,5
SHANTI,180,15
SHANTY,60,0
SHANY,445,50
SHANYA,145,0
SHANYCE,350,0
SHANYS,310,0
SHANYSE,10,0
SHANYSS,60,0
SHANYSSE,55,0
SHANZAY,5,0
SHAONA,25,0
SHAQUAN,0,5
SHAQUILLE,0,5
SHARA,70,0
SHARAN,0,25
SHARAZADE,5,0
SHAREEN,5,0
SHAREN,5,0
SHARI,5,0
SHARIF,0,55
SHARIFA,5,0
SHARIFF,0,5
SHARINE,5,0
SHARLEEN,335,0
SHARLEN,35,0
SHARLENE,125,0
SHARLEYNE,15,0
SHARLIE,95,0
SHARLINE,60,0
SHARLIZE,5,0
SHARLY,55,25
SHARLYN,10,0
SHARLYNE,80,0
SHARMILA,60,0
SHARMINE,5,0
SHARON,2525,45
SHARON-ROSE,20,0
SHARONA,30,0
SHARONE,355,0
SHARONN,10,0
SHARONNA,5,0
SHARONNE,35,0
SHARUJAN,0,20
SHARVIN,0,30
SHARWIN,0,5
SHASWIN,0,5
SHAUN,0,350
SHAUNA,495,0
SHAUNI,5,0
SHAUNY,5,0
SHAUWN,0,10
SHAWN,0,1195
SHAWNA,155,0
SHAWNEE,25,0
SHAY,35,165
SHAYA,165,0
SHAYAAN,0,70
SHAYAH,5,0
SHAYAN,0,675
SHAYANA,455,0
SHAYANE,95,35
SHAYANN,5,255
SHAYANNA,145,0
SHAYANNAH,5,0
SHAYANNE,55,0
SHAYDEN,40,50
SHAYDON,0,5
SHAYEL,5,0
SHAYENNE,5,0
SHAYIM,0,10
SHAYINA,15,0
SHAYLA,50,0
SHAYLAN,0,15
SHAYLEE,120,0
SHAYLEEN,15,0
SHAYLI,55,0
SHAYLIE,75,0
SHAYLINE,50,0
SHAYLISS,5,0
SHAYM,0,5
SHAYMA,1435,0
SHAYMAA,50,0
SHAYMAE,30,0
SHAYMAH,5,0
SHAYN,0,120
SHAYNA,3370,0
SHAYNAA,10,0
SHAYNAH,35,0
SHAYNE,5,165
SHAYNEE,5,0
SHAYNELLE,5,0
SHAYNES,130,0
SHAYNESE,40,0
SHAYNESS,270,0
SHAYNESSE,70,0
SHAYNEZ,445,0
SHAYNEZE,80,0
SHAYNICE,105,0
SHAYNIS,80,0
SHAYNISE,10,0
SHAYNISS,30,0
SHAYNISSE,25,0
SHAYNNA,335,0
SHAYRA,20,0
SHAYRON,0,25
SHAZAIN,0,5
SHAZIA,45,0
SHEALSY,5,0
SHEAN,0,185
SHEBA,5,0
SHEDY,0,10
SHEENA,55,0
SHEERAZ,5,0
SHEERAZAD,5,0
SHEERAZADE,55,0
SHEHERAZAD,15,0
SHEHERAZADE,865,0
SHEHRAZAD,60,0
SHEHRAZADE,160,0
SHEHRAZED,15,0
SHEIK,0,25
SHEIKH,0,5
SHEILA,765,0
SHEILLA,15,0
SHEILLY,30,0
SHEILY,80,0
SHEIMA,555,0
SHEINA,330,0
SHEINDEL,45,0
SHEINEZ,20,0
SHEINEZE,5,0
SHEKINA,80,0
SHEKINAH,80,5
SHELBY,830,25
SHELCY,125,0
SHELDA,10,0
SHELDON,5,545
SHELDONE,5,0
SHELDONN,0,5
SHELEM,5,0
SHELEY,5,0
SHELI,25,0
SHELIANE,10,0
SHELIHANE,25,0
SHELINA,10,0
SHELLA,20,0
SHELLEY,90,0
SHELLSY,10,0
SHELLY,770,0
SHELLY-ANN,35,0
SHELSEA,275,0
SHELSEY,15,0
SHELSIE,10,0
SHELSSY,110,0
SHELSY,925,0
SHELTON,0,125
SHELY,70,0
SHELYNA,10,0
SHEM,0,10
SHEMAR,0,15
SHEMCY,10,0
SHEMS,130,260
SHEMS-DINE,0,5
SHEMS-EDDINE,0,105
SHEMSA,15,0
SHEMSDINE,0,70
SHEMSEDDINE,0,45
SHEMSEDINE,0,30
SHEMSI,30,0
SHEMSS,5,0
SHEMSSY,35,0
SHEMSY,285,35
SHEN,0,100
SHENA,15,0
SHENAYA,5,0
SHENCY,20,0
SHENDY,5,0
SHENNA,5,0
SHENOA,15,0
SHENRON,0,10
SHENSEE,30,0
SHENSEEA,30,0
SHENSY,25,0
SHENZO,0,15
SHENZY,30,0
SHEONA,20,0
SHERAZ,100,0
SHERAZAD,165,0
SHERAZADE,1875,0
SHERAZE,10,0
SHERAZED,25,0
SHEREEN,130,0
SHEREL,25,0
SHERI,5,0
SHERIANE,70,0
SHERIDAN,45,40
SHERIDANE,10,0
SHERIF,0,130
SHERIFA,50,0
SHERIHANE,45,0
SHERILYN,70,0
SHERIN,20,0
SHERINA,40,0
SHERINE,2565,0
SHERINNE,5,0
SHERLEY,745,0
SHERLINE,5,0
SHERLY,10,0
SHERLYN,15,0
SHERLYNE,5,0
SHERMINA,5,0
SHERON,15,5
SHERONE,10,0
SHERRI,10,0
SHERRINE,5,0
SHERRY,50,0
SHERRYL,30,0
SHERVAN,0,10
SHERYANE,80,0
SHERYDAN,15,0
SHERYDANE,10,0
SHERYFA,50,0
SHERYHANE,5,0
SHERYL,535,0
SHERYLANE,5,0
SHERYLEEN,10,0
SHERYLINE,65,0
SHERYN,135,0
SHERYNA,10,0
SHERYNE,1545,0
SHERYNN,10,0
SHEUN,0,105
SHEURLEY,5,0
SHEYANNA,5,0
SHEYDEN,0,5
SHEYDON,0,5
SHEYEN,10,0
SHEYENE,15,0
SHEYENNE,185,0
SHEYLA,80,0
SHEYLI,5,0
SHEYLIE,25,0
SHEYMA,455,0
SHEYN,0,5
SHEYNA,250,0
SHEYNEZ,20,0
SHEYNNA,5,0
SHEYRA,5,0
SHEYRAZADE,10,0
SHEYRINE,15,0
SHIFA,35,0
SHIFAA,10,0
SHIHAB,0,20
SHILANE,5,0
SHILO,70,70
SHILOH,135,100
SHIMA,30,0
SHIMEN,10,0
SHIMENE,15,0
SHIMON,0,65
SHINA,10,0
SHINE,40,0
SHINJI,0,10
SHINY,15,0
SHIR,15,0
SHIR-EL,5,0
SHIRA,180,0
SHIRAZ,195,0
SHIRAZE,5,0
SHIREEN,5,0
SHIREL,1415,0
SHIRELE,5,0
SHIRELLE,30,0
SHIRIN,80,0
SHIRINE,720,0
SHIRLEY,4560,0
SHIRLY,70,0
SHIRYN,5,0
SHIRYNE,20,0
SHIVA,25,50
SHIVAM,0,5
SHIVAN,0,45
SHIVANA,10,0
SHIVANI,140,0
SHIVANN,0,5
SHIVANSH,0,15
SHIVANY,55,0
SHIVEN,0,5
SHKURTA,5,0
SHLOK,0,5
SHLOMO,0,20
SHMOUEL,0,35
