ags,name,land,lat,long
14521540,Schönheide,Sachsen,50.500641424284794,12.519203282931839
14523010,Adorf/Vogtl.,Sachsen,50.32527652563341,12.243649786644598
14523320,Plauen,Sachsen,50.49836483217707,12.135939949526623
14524240,Oberwiera,Sachsen,50.8877063662454,12.541421533898648
14625490,Radibor,Sachsen,51.274330931431564,14.418100399016348
14625530,Schmölln-Putzkau,Sachsen,51.10051364775901,14.235262099975415
14625300,Laußnitz,Sachsen,51.23035314303969,13.850425848308605
14626100,Gablenz,Sachsen,51.53894229102911,14.650540348105842
14626140,Großschönau,Sachsen,50.8834169460228,14.656812219603358
14626150,Großschweidnitz,Sachsen,51.067172328833564,14.638142260940112
14626470,Rosenbach,Sachsen,51.08027013259193,14.739654157902992
14626520,Schöpstal,Sachsen,51.19194599088098,14.93198582635787
14627030,Ebersbach,Sachsen,51.24761730268958,13.65285501812213
14627180,Nossen,Sachsen,51.09993661012516,13.307090119506935
14628040,Bahretal,Sachsen,50.88290024050503,13.899592428906502
14729190,Großpösna,Sachsen,51.249264890984634,12.474252095167127
14729220,Kitzscher,Sachsen,51.171866739283445,12.547609358538752
14729370,Rötha,Sachsen,51.20411481876005,12.473443358649057
14730110,Eilenburg,Sachsen,51.46155094977408,12.608995531482105
15081455,Salzwedel,Sachsen-Anhalt,52.84167599819597,11.141895666299494
15084150,Gleina,Sachsen-Anhalt,51.2565967982239,11.731632244561832
15085330,Thale,Sachsen-Anhalt,51.7354809209474,11.015707936425613
15088030,Barnstädt,Sachsen-Anhalt,51.337441246337065,11.636562209551478
15088340,Schraplau,Sachsen-Anhalt,51.435586857153865,11.651673977341188
15090135,Eichstedt (Altmark),Sachsen-Anhalt,52.68355147601749,11.889170462663786
16061015,Brehme,Thüringen,51.49570335068607,10.35875228514381
16062065,Harztor,Thüringen,51.586889260097685,10.821237954627875
16063032,Geisa,Thüringen,50.69596748732291,9.960783459595724
16063068,Schleid,Thüringen,50.68748375477843,9.990300925043996
16064061,Sundhausen,Thüringen,51.155866659199155,10.715170898538563
16064074,Südeichsfeld,Thüringen,51.183740858302,10.255653720598039
16066041,Mehmels,Thüringen,50.63756536060607,10.331945414283894
16066076,Untermaßfeld,Thüringen,50.52474683055908,10.40525291208565
16068015,Griefstedt,Thüringen,51.22765126511853,11.145230774791473
16068037,Nöda,Thüringen,51.07055904318507,11.017146232046462
16069042,Schleusegrund,Thüringen,50.54173410969626,10.886283609400952
16070048,Stadtilm,Thüringen,50.759668389011644,11.09559023835489
16070057,Geratal,Thüringen,50.74239823324164,10.813769892233912
16071027,Hammerstedt,Thüringen,50.95403607892508,11.450721542838112
16073077,Saalfeld/Saale,Thüringen,50.613201119645865,11.301788824315832
16074065,Orlamünde,Thüringen,50.77482002953254,11.517854096896356
16075051,Kospoda,Thüringen,50.71342833176597,11.74000658779834
16077008,Göhren,Thüringen,50.97323874194156,12.366865704511246
